product_name,product_slug,kind,role,filename,relative_path,title,alt,attach,source_url
TH2-SE,th2-se,cartridge,gallery-03,th2-se-justccell-cartridge-gallery-03.png,upload/th2-se-justccell-cartridge-gallery-03.png,TH2-SE - Justccell - Cartridge - Gallery 03,TH2-SE - Justccell - Cartridge - Gallery 03,ACF Thumbnail gallery,https://justccell.com/wp-content/uploads/2026/08/justccell-photo-e8e975b0e9.png
TH2-SE,th2-se,cartridge,gallery-04,th2-se-justccell-cartridge-gallery-04.png,upload/th2-se-justccell-cartridge-gallery-04.png,TH2-SE - Justccell - Cartridge - Gallery 04,TH2-SE - Justccell - Cartridge - Gallery 04,ACF Thumbnail gallery,https://justccell.com/wp-content/uploads/2026/08/justccell-th2-se-catalog.png
TH2-SE,th2-se,cartridge,evomax,th2-se-justccell-cartridge-evomax.jpg,upload/th2-se-justccell-cartridge-evomax.jpg,TH2-SE - Justccell - Cartridge - EVOMAX,TH2-SE - Justccell - Cartridge - EVOMAX,ACF EVOMAX background,https://justccell.com/wp-content/uploads/2026/09/justccell-m3-plus-evomax-background.jpg
M6T-EVOMAX,m6t-evomax,cartridge,featured,m6t-evomax-justccell-cartridge-featured.png,upload/m6t-evomax-justccell-cartridge-featured.png,M6T-EVOMAX - Justccell - Cartridge,M6T-EVOMAX - Justccell - Cartridge,Woo Product image + ACF listing card image,https://justccell.com/wp-content/uploads/2026/09/justccell-m6t-evomax-featured-image.png
M6T-EVOMAX,m6t-evomax,cartridge,gallery-01,m6t-evomax-justccell-cartridge-gallery-01.png,upload/m6t-evomax-justccell-cartridge-gallery-01.png,M6T-EVOMAX - Justccell - Cartridge - Gallery 01,M6T-EVOMAX - Justccell - Cartridge - Gallery 01,ACF Thumbnail gallery,https://justccell.com/wp-content/uploads/2026/09/justccell-m6t-evomax-product-gallery-01.png
M6T-EVOMAX,m6t-evomax,cartridge,evomax,m6t-evomax-justccell-cartridge-evomax.jpg,upload/m6t-evomax-justccell-cartridge-evomax.jpg,M6T-EVOMAX - Justccell - Cartridge - EVOMAX,M6T-EVOMAX - Justccell - Cartridge - EVOMAX,ACF EVOMAX background,https://justccell.com/wp-content/uploads/2026/09/justccell-m3-plus-evomax-background.jpg
TH2-EVOMAX,th2-evomax,cartridge,featured,th2-evomax-justccell-cartridge-featured.png,upload/th2-evomax-justccell-cartridge-featured.png,TH2-EVOMAX - Justccell - Cartridge,TH2-EVOMAX - Justccell - Cartridge,Woo Product image + ACF listing card image,https://justccell.com/wp-content/uploads/2026/09/justccell-th2-evomax-featured-image.png
TH2-EVOMAX,th2-evomax,cartridge,gallery-01,th2-evomax-justccell-cartridge-gallery-01.png,upload/th2-evomax-justccell-cartridge-gallery-01.png,TH2-EVOMAX - Justccell - Cartridge - Gallery 01,TH2-EVOMAX - Justccell - Cartridge - Gallery 01,ACF Thumbnail gallery,https://justccell.com/wp-content/uploads/2026/09/justccell-th2-evomax-product-gallery-01.png
TH2-EVOMAX,th2-evomax,cartridge,evomax,th2-evomax-justccell-cartridge-evomax.jpg,upload/th2-evomax-justccell-cartridge-evomax.jpg,TH2-EVOMAX - Justccell - Cartridge - EVOMAX,TH2-EVOMAX - Justccell - Cartridge - EVOMAX,ACF EVOMAX background,https://justccell.com/wp-content/uploads/2026/09/justccell-m3-plus-evomax-background.jpg
Ceramic-EVOMAX,ceramic-evomax,cartridge,featured,ceramic-evomax-justccell-cartridge-featured.png,upload/ceramic-evomax-justccell-cartridge-featured.png,Ceramic-EVOMAX - Justccell - Cartridge,Ceramic-EVOMAX - Justccell - Cartridge,Woo Product image + ACF listing card image,https://justccell.com/wp-content/uploads/2026/09/justccell-ceramic-evomax-featured-image.png
